Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do,voivodeship,parish_id
Świlcza,Świlcza,Zgony,1787,1944,podkarpackie,9564
Targowiska,Targowiska,Chrzty,1877,1917,podkarpackie,8568
Tarnawa Wyżna (gr.-kat.),Tarnawa Wyżna (gr.-kat.),Chrzty,1877,1889,podkarpackie,8569
Tarnawa Wyżna (gr.-kat.),Tarnawa Wyżna (gr.-kat.),Śluby,1877,1889,podkarpackie,8570
Tarnawa Wyżna (gr.-kat.),Tarnawa Wyżna (gr.-kat.),Zgony,1877,1889,podkarpackie,8571
Tarnawiec,Tarnawiec,Chrzty,1839,1924,podkarpackie,10060
Tarnawiec,Tarnawiec,Śluby,1905,1944,podkarpackie,16235
Tarnawiec,Tarnawiec,Zgony,1904,1944,podkarpackie,16230
Tarnawka (pow. krośnieński) (gr.-kat.),Tarnawka (pow. krośnieński) (gr.-kat.),Chrzty,1871,1883,podkarpackie,7141
Tarnawka (pow. krośnieński) (gr.-kat.),Tarnawka (pow. krośnieński) (gr.-kat.),Śluby,1871,1883,podkarpackie,7142
Tarnawka (pow. krośnieński) (gr.-kat.),Tarnawka (pow. krośnieński) (gr.-kat.),Zgony,1871,1883,podkarpackie,7143
Tarnawka (pow. łańcucki) (gr.-kat.),Tarnawka (pow. łańcucki) (gr.-kat.),Chrzty,1786,1889,podkarpackie,5016
Tarnawka (pow. łańcucki) (gr.-kat.),Tarnawka (pow. łańcucki) (gr.-kat.),Śluby,1824,1866,podkarpackie,5017
Tarnawka (pow. łańcucki) (gr.-kat.),Tarnawka (pow. łańcucki) (gr.-kat.),Zgony,1824,1862,podkarpackie,5018
Tarnobrzeg - Miechocin,Tarnobrzeg - Miechocin,Chrzty,1786,1923,podkarpackie,9761
Tarnobrzeg - Miechocin,Tarnobrzeg - Miechocin,Śluby,1786,1943,podkarpackie,9762
Tarnobrzeg - Miechocin,Tarnobrzeg - Miechocin,Zgony,1786,1943,podkarpackie,9811
Tarnobrzeg - Wielowieś,Tarnobrzeg - Wielowieś,Chrzty,1864,1922,podkarpackie,9933
Tarnobrzeg - Wielowieś,Tarnobrzeg - Wielowieś,Śluby,1838,1942,podkarpackie,9932
Tarnobrzeg - Wielowieś,Tarnobrzeg - Wielowieś,Zgony,1831,1942,podkarpackie,8056
Tarnobrzeg Wniebowzięcia NMP,Tarnobrzeg Wniebowzięcia NMP,Chrzty,1923,1923,podkarpackie,13143
Tarnobrzeg Wniebowzięcia NMP,Tarnobrzeg Wniebowzięcia NMP,Śluby,1922,1942,podkarpackie,13144
Tarnowiec,Tarnowiec,Chrzty,1766,1922,podkarpackie,10795
Tarnowiec,Tarnowiec,Zgony,1784,1949,podkarpackie,5254
Tarnowska Wola,Tarnowska Wola,Śluby,1927,1943,podkarpackie,16844
Tarnowska Wola,Tarnowska Wola,Zgony,1927,1943,podkarpackie,16843
Torki (gr.-kat.),Torki (gr.-kat.),Chrzty,1784,1857,podkarpackie,17216
Torki (gr.-kat.),Torki (gr.-kat.),Śluby,1784,1857,podkarpackie,17217
Torki (gr.-kat.),Torki (gr.-kat.),Zgony,1784,1857,podkarpackie,17218
Trepcza (gr.-kat.),Trepcza (gr.-kat.),Chrzty,1781,1905,podkarpackie,16546
Trepcza (gr.-kat.),Trepcza (gr.-kat.),Śluby,1784,1851,podkarpackie,17096
Trepcza (gr.-kat.),Trepcza (gr.-kat.),Zgony,1784,1851,podkarpackie,17125
Tryńcza,Tryńcza,Chrzty,1883,1925,podkarpackie,17022
Tryńcza,Tryńcza,Śluby,1786,1945,podkarpackie,16768
Tryńcza,Tryńcza,Zgony,1923,1945,podkarpackie,16769
Trzciana,Trzciana,Chrzty,1872,1905,podkarpackie,4408
Trzciana,Trzciana,Śluby,1849,1893,podkarpackie,4409
Trzciana,Trzciana,Zgony,1871,1927,podkarpackie,15161
Trzcinica,Trzcinica,Chrzty,1766,1899,podkarpackie,8625
Trzcinica,Trzcinica,Śluby,1784,1945,podkarpackie,8634
Trzcinica,Trzcinica,Zgony,1784,1949,podkarpackie,8013
Trzeboś,Trzeboś,Chrzty,1887,1920,podkarpackie,13067
Trzeboś,Trzeboś,Śluby,1795,1941,podkarpackie,13068
Trzeboś,Trzeboś,Zgony,1847,1944,podkarpackie,13069
Trześń,Trześń,Chrzty,1784,1922,podkarpackie,8689
Trześń,Trześń,Śluby,1784,1936,podkarpackie,8690
Trześń,Trześń,Zgony,1784,1946,podkarpackie,8691
Trzęsówka,Trzęsówka,Chrzty,1778,1924,podkarpackie,8137
Trzęsówka,Trzęsówka,Śluby,1778,1943,podkarpackie,7607
Trzęsówka,Trzęsówka,Zgony,1786,1944,podkarpackie,8138
Tuligłowy,Tuligłowy,Chrzty,1784,1897,podkarpackie,8466
Tuligłowy,Tuligłowy,Śluby,1784,1912,podkarpackie,8467
Tuligłowy,Tuligłowy,Zgony,1784,1897,podkarpackie,8468
Turbia,Turbia,Chrzty,1784,1923,podkarpackie,11435
Turbia,Turbia,Śluby,1889,1945,podkarpackie,11436
Turbia,Turbia,Zgony,1863,1939,podkarpackie,11438
Turzańsk (gr.-kat.),Turzańsk (gr.-kat.),Chrzty,1882,1903,podkarpackie,12785
Turzańsk (gr.-kat.),Turzańsk (gr.-kat.),Zgony,1889,1929,podkarpackie,12773
Tyczyn,Tyczyn,Chrzty,1786,1906,podkarpackie,9633
Tyczyn,Tyczyn,Śluby,1786,1906,podkarpackie,9634
Tyczyn,Tyczyn,Zgony,1786,1933,podkarpackie,9635
Tylawa (gr.-kat.),Tylawa (gr.-kat.),Chrzty,1869,1907,podkarpackie,10618
Tylawa (gr.-kat.),Tylawa (gr.-kat.),Śluby,1784,1906,podkarpackie,5396
Tylawa (gr.-kat.),Tylawa (gr.-kat.),Zgony,1784,1860,podkarpackie,11455
Tyrawa Solna (gr.-kat.),Tyrawa Solna (gr.-kat.),Chrzty,1841,1909,podkarpackie,12326
Tyrawa Wołoska,Tyrawa Wołoska,Chrzty,1831,1907,podkarpackie,7814
Tyrawa Wołoska (gr.-kat.),Tyrawa Wołoska (gr.-kat.),Chrzty,1841,1901,podkarpackie,12299
Uherce Mineralne Św. Stanisława Biskupa,Uherce Mineralne Św. Stanisława Biskupa,Chrzty,1889,1903,podkarpackie,17019
Ujkowice,Ujkowice,Chrzty,1845,1904,podkarpackie,9861
Ujkowice,Ujkowice,Śluby,1890,1903,podkarpackie,9862
Ujkowice,Ujkowice,Zgony,1890,1903,podkarpackie,9863
Ujkowice (gr.-kat.),Ujkowice (gr.-kat.),Chrzty,1784,1865,podkarpackie,11580
Ujkowice (gr.-kat.),Ujkowice (gr.-kat.),Śluby,1784,1865,podkarpackie,11581
Ujkowice (gr.-kat.),Ujkowice (gr.-kat.),Zgony,1784,1865,podkarpackie,11582
Ulanów,Ulanów,Chrzty,1890,1919,podkarpackie,2595
Ulanów,Ulanów,Śluby,1878,1939,podkarpackie,2596
Ulanów,Ulanów,Zgony,1866,1938,podkarpackie,2597
Ulucz (gr.-kat.),Ulucz (gr.-kat.),Chrzty,1862,1899,podkarpackie,11478
Ulucz (gr.-kat.),Ulucz (gr.-kat.),Śluby,1785,1899,podkarpackie,5486
Ulucz (gr.-kat.),Ulucz (gr.-kat.),Zgony,1862,1899,podkarpackie,12367
Urzejowice,Urzejowice,Śluby,1890,1903,podkarpackie,11451
Urzejowice,Urzejowice,Zgony,1890,1903,podkarpackie,11452
Ustjanowa Górna (gr.-kat),Ustjanowa Górna (gr.-kat),Chrzty,1847,1926,podkarpackie,13437
Ustjanowa Górna (gr.-kat),Ustjanowa Górna (gr.-kat),Śluby,1847,1944,podkarpackie,13438
Ustjanowa Górna (gr.-kat),Ustjanowa Górna (gr.-kat),Zgony,1876,1896,podkarpackie,13439
Ustrobna,Ustrobna,Chrzty,1895,1925,podkarpackie,12314
Ustrobna,Ustrobna,Zgony,1886,1946,podkarpackie,5245
Ustrzyki Dolne - Jasień (gr.-kat.),Ustrzyki Dolne - Jasień (gr.-kat.),Chrzty,1859,1890,podkarpackie,12843
Ustrzyki Dolne - Jasień (gr.-kat.),Ustrzyki Dolne - Jasień (gr.-kat.),Śluby,1884,1943,podkarpackie,12844
Ustrzyki Dolne - Jasień (gr.-kat.),Ustrzyki Dolne - Jasień (gr.-kat.),Zgony,1854,1930,podkarpackie,12845
Ustrzyki Dolne (gr.-kat.),Ustrzyki Dolne (gr.-kat.),Chrzty,1784,1925,podkarpackie,12882
Ustrzyki Dolne (gr.-kat.),Ustrzyki Dolne (gr.-kat.),Śluby,1785,1944,podkarpackie,12914
Ustrzyki Dolne (gr.-kat.),Ustrzyki Dolne (gr.-kat.),Zgony,1785,1944,podkarpackie,12915
Ustrzyki Górne (gr.-kat.),Ustrzyki Górne (gr.-kat.),Chrzty,1785,1836,podkarpackie,15355
Ustrzyki Górne (gr.-kat.),Ustrzyki Górne (gr.-kat.),Śluby,1785,1836,podkarpackie,15356
Ustrzyki Górne (gr.-kat.),Ustrzyki Górne (gr.-kat.),Zgony,1784,1836,podkarpackie,15357
Wadowice Górne,Wadowice Górne,Chrzty,1777,1841,podkarpackie,8462
Wadowice Górne,Wadowice Górne,Śluby,1777,1883,podkarpackie,8366
Wadowice Górne,Wadowice Górne,Zgony,1787,1827,podkarpackie,9793
Wańkowa (gr.-kat.),Wańkowa (gr.-kat.),Chrzty,1784,1912,podkarpackie,7810
Wańkowa (gr.-kat.),Wańkowa (gr.-kat.),Śluby,1784,1941,podkarpackie,7837
Wańkowa (gr.-kat.),Wańkowa (gr.-kat.),Zgony,1786,1942,podkarpackie,7811
Warzyce,Warzyce,Chrzty,1766,1766,podkarpackie,10836
Warzyce,Warzyce,Śluby,1889,1945,podkarpackie,8260
Warzyce,Warzyce,Zgony,1868,1947,podkarpackie,8259
Wesoła,Wesoła,Chrzty,1890,1899,podkarpackie,10294
Wesoła,Wesoła,Śluby,1890,1899,podkarpackie,10295
Wesoła,Wesoła,Zgony,1890,1899,podkarpackie,10296
Węglówka (gr.-kat.),Węglówka (gr.-kat.),Chrzty,1794,1898,podkarpackie,11514
Węglówka (gr.-kat.),Węglówka (gr.-kat.),Śluby,1794,1903,podkarpackie,8427
Węglówka (gr.-kat.),Węglówka (gr.-kat.),Zgony,1794,1898,podkarpackie,11604
Wiązownica,Wiązownica,Chrzty,1890,1904,podkarpackie,7140
Widełka,Widełka,Chrzty,1920,1920,podkarpackie,15714
Widełka,Widełka,Śluby,1920,1943,podkarpackie,15715
Widełka,Widełka,Zgony,1920,1944,podkarpackie,15716
Wielkie Oczy,Wielkie Oczy,Chrzty,1784,1923,podkarpackie,15948
Wielkie Oczy,Wielkie Oczy,Śluby,1784,1943,podkarpackie,15949
Wielkie Oczy,Wielkie Oczy,Zgony,1854,1875,podkarpackie,15934
Wielopole Skrzyńskie,Wielopole Skrzyńskie,Chrzty,1831,1909,podkarpackie,8645
Wielopole Skrzyńskie,Wielopole Skrzyńskie,Śluby,1816,1900,podkarpackie,8942
Wielopole Skrzyńskie,Wielopole Skrzyńskie,Zgony,1839,1904,podkarpackie,10050
Wietlin (gr.-kat.),Wietlin (gr.-kat.),Chrzty,1785,1846,podkarpackie,11666
Wietlin (gr.-kat.),Wietlin (gr.-kat.),Śluby,1831,1846,podkarpackie,11667
Wietlin (gr.-kat.),Wietlin (gr.-kat.),Zgony,1831,1846,podkarpackie,11668
Wietrzno,Wietrzno,Śluby,1906,1930,podkarpackie,13110
Wisłok Wielki (gr.-kat.),Wisłok Wielki (gr.-kat.),Śluby,1855,1913,podkarpackie,9488
Wojtkowa (gr.-kat.),Wojtkowa (gr.-kat.),Chrzty,1784,1879,podkarpackie,16787
Wojtkowa (gr.-kat.),Wojtkowa (gr.-kat.),Śluby,1777,1937,podkarpackie,16266
Wojtkowa (gr.-kat.),Wojtkowa (gr.-kat.),Zgony,1784,1869,podkarpackie,8603
Wojtkowa-Nowosielce Kozickie,Wojtkowa-Nowosielce Kozickie,Chrzty,1890,1892,podkarpackie,16316
Wojtkowa-Nowosielce Kozickie,Wojtkowa-Nowosielce Kozickie,Śluby,1877,1941,podkarpackie,16317
Wojtkowa-Nowosielce Kozickie,Wojtkowa-Nowosielce Kozickie,Zgony,1890,1892,podkarpackie,16318
Wola Cieklińska (gr.-kat.),Wola Cieklińska (gr.-kat.),Chrzty,1784,1897,podkarpackie,10643
Wola Cieklińska (gr.-kat.),Wola Cieklińska (gr.-kat.),Śluby,1784,1897,podkarpackie,5284
Wola Cieklińska (gr.-kat.),Wola Cieklińska (gr.-kat.),Zgony,1784,1897,podkarpackie,10800
Wola Michowa (gr.-kat.),Wola Michowa (gr.-kat.),Chrzty,1784,1895,podkarpackie,10872
Wola Michowa (gr.-kat.),Wola Michowa (gr.-kat.),Śluby,1784,1852,podkarpackie,10873
Wola Michowa (gr.-kat.),Wola Michowa (gr.-kat.),Zgony,1784,1853,podkarpackie,10874
Wola Mielecka,Wola Mielecka,Zgony,2005,2011,podkarpackie,2164
Wola Rafałowska,Wola Rafałowska,Chrzty,1786,1913,podkarpackie,10250
Wola Rafałowska,Wola Rafałowska,Śluby,1787,1889,podkarpackie,13393
Wola Rafałowska,Wola Rafałowska,Zgony,1786,1889,podkarpackie,13341
Wola Raniżowska,Wola Raniżowska,Chrzty,1919,1920,podkarpackie,13359
Wola Raniżowska,Wola Raniżowska,Śluby,1919,1942,podkarpackie,13360
Wola Raniżowska,Wola Raniżowska,Zgony,1919,1942,podkarpackie,13361
Wola Rzeczycka,Wola Rzeczycka,Śluby,1889,1942,podkarpackie,17055
Wola Rzeczycka,Wola Rzeczycka,Zgony,1889,1942,podkarpackie,17056
Wola Zarczycka,Wola Zarczycka,Chrzty,1735,1921,podkarpackie,9335
Wola Zarczycka,Wola Zarczycka,Śluby,1826,1922,podkarpackie,12028
Wola Zarczycka,Wola Zarczycka,Zgony,1825,1942,podkarpackie,12029
Wołkowyja,Wołkowyja,Chrzty,1873,1907,podkarpackie,12884
Wólka Niedźwiedzka,Wólka Niedźwiedzka,Śluby,1928,1942,podkarpackie,13063
Wólka Niedźwiedzka,Wólka Niedźwiedzka,Zgony,1928,1942,podkarpackie,13064
Wrocanka,Wrocanka,Chrzty,1776,1910,podkarpackie,8014
Wrocanka,Wrocanka,Śluby,1777,1907,podkarpackie,8659
Wrocanka,Wrocanka,Zgony,1776,1784,podkarpackie,13575
Wróblik Królewski (gr.-kat.),Wróblik Królewski (gr.-kat.),Chrzty,1784,1843,podkarpackie,6142
Wróblik Królewski (gr.-kat.),Wróblik Królewski (gr.-kat.),Śluby,1830,1835,podkarpackie,6143
Wrzawy,Wrzawy,Chrzty,1766,1903,podkarpackie,2043
Wrzawy,Wrzawy,Śluby,1890,1903,podkarpackie,2044
Wrzawy,Wrzawy,Zgony,1890,1903,podkarpackie,2045
Wybrzeże-Ruska Wieś (gr.-kat.),Wybrzeże-Ruska Wieś (gr.-kat.),Śluby,1819,1937,podkarpackie,11004
Wybrzeże-Ruska Wieś (gr.-kat.),Wybrzeże-Ruska Wieś (gr.-kat.),Zgony,1873,1937,podkarpackie,13234
Wysoka,Wysoka,Chrzty,1886,1916,podkarpackie,10013
Wysoka,Wysoka,Śluby,1890,1930,podkarpackie,10014
Wysoka,Wysoka,Zgony,1856,1899,podkarpackie,10015
Zabierzów,Zabierzów,Śluby,1867,1897,podkarpackie,9744
Zabierzów,Zabierzów,Zgony,1870,1923,podkarpackie,9745
Zaczernie,Zaczernie,Chrzty,1786,1907,podkarpackie,13996
Zaczernie,Zaczernie,Śluby,1786,1889,podkarpackie,13997
Zaczernie,Zaczernie,Zgony,1783,1911,podkarpackie,13998
Zagórz (gr.-kat.),Zagórz (gr.-kat.),Chrzty,1836,1898,podkarpackie,11018
Zagórz (gr.-kat.),Zagórz (gr.-kat.),Śluby,1836,1898,podkarpackie,12144
Zagórz (gr.-kat.),Zagórz (gr.-kat.),Zgony,1871,1898,podkarpackie,12145
Zaklików,Zaklików,Chrzty,1869,1906,podkarpackie,9622
Zaklików,Zaklików,Śluby,1883,1905,podkarpackie,9623
Zaklików,Zaklików,Zgony,1879,1944,podkarpackie,9624
Zaleszany,Zaleszany,Chrzty,1787,1924,podkarpackie,12105
Zaleszany,Zaleszany,Śluby,1787,1943,podkarpackie,12106
Zaleszany,Zaleszany,Zgony,1787,1943,podkarpackie,12107
Załęże,Załęże,Chrzty,1766,1889,podkarpackie,10858
Załęże,Załęże,Śluby,1784,1941,podkarpackie,10821
Załęże,Załęże,Zgony,1784,1933,podkarpackie,10822
Zamiechów (gr.-kat.),Zamiechów (gr.-kat.),Chrzty,1784,1865,podkarpackie,11503
Zamiechów (gr.-kat.),Zamiechów (gr.-kat.),Śluby,1784,1865,podkarpackie,11504
Zamiechów (gr.-kat.),Zamiechów (gr.-kat.),Zgony,1784,1865,podkarpackie,11505
Zapałów (gr.-kat.),Zapałów (gr.-kat.),Chrzty,1778,1916,podkarpackie,7374
Zapałów (gr.-kat.),Zapałów (gr.-kat.),Śluby,1785,1935,podkarpackie,12801
Zapałów (gr.-kat.),Zapałów (gr.-kat.),Zgony,1785,1938,podkarpackie,12802
Zarzecze (pow. niżański),Zarzecze (pow. niżański),Zgony,1936,1942,podkarpackie,12924
Zarzecze (pow. przeworski),Zarzecze (pow. przeworski),Chrzty,1890,1923,podkarpackie,6643
Zarzecze (pow. przeworski),Zarzecze (pow. przeworski),Śluby,1890,1943,podkarpackie,6644
Zarzecze (pow. przeworski),Zarzecze (pow. przeworski),Zgony,1890,1943,podkarpackie,6645
Zasów,Zasów,Chrzty,1784,1895,podkarpackie,2463
Zasów,Zasów,Śluby,1791,1924,podkarpackie,5657
Zasów,Zasów,Zgony,1890,1942,podkarpackie,14243
Zawada,Zawada,Chrzty,1791,1924,podkarpackie,8266
Zawada,Zawada,Śluby,1792,1939,podkarpackie,8267
Zawada,Zawada,Zgony,1821,1940,podkarpackie,9475
Zawadka Rymanowska (gr.-kat.),Zawadka Rymanowska (gr.-kat.),Chrzty,1899,1901,podkarpackie,13870
Zdziarzec,Zdziarzec,Zgony,1806,1820,podkarpackie,1969
Zgłobień,Zgłobień,Chrzty,1875,1902,podkarpackie,9873
Zgłobień,Zgłobień,Śluby,1869,1919,podkarpackie,9874
Zgłobień,Zgłobień,Zgony,1885,1934,podkarpackie,9875
Zgórsko,Zgórsko,Chrzty,1799,1925,podkarpackie,4629
Zgórsko,Zgórsko,Śluby,1834,1929,podkarpackie,4630
Zgórsko,Zgórsko,Zgony,1799,1982,podkarpackie,4631
Zręcin,Zręcin,Chrzty,1766,1908,podkarpackie,7748
Zręcin,Zręcin,Śluby,1858,1925,podkarpackie,5194
Zręcin,Zręcin,Zgony,1850,1904,podkarpackie,11922
Zwiernik,Zwiernik,Chrzty,1777,1899,podkarpackie,14168
Zyndranowa (gr.-kat.),Zyndranowa (gr.-kat.),Chrzty,1855,1890,podkarpackie,11444
Zyndranowa (gr.-kat.),Zyndranowa (gr.-kat.),Śluby,1784,1820,podkarpackie,5285
Zyndranowa (gr.-kat.),Zyndranowa (gr.-kat.),Zgony,1843,1925,podkarpackie,11445
Żmijowiska (gr.-kat.),Żmijowiska (gr.-kat.),Chrzty,1860,1899,podkarpackie,15669
Żmijowiska (gr.-kat.),Żmijowiska (gr.-kat.),Śluby,1859,1899,podkarpackie,15670
Żołynia,Żołynia,Chrzty,1856,1917,podkarpackie,10573
Żołynia,Żołynia,Śluby,1843,1920,podkarpackie,10886
Żołynia,Żołynia,Zgony,1890,1920,podkarpackie,14251
Żuków (gr.-kat.),Żuków (gr.-kat.),Chrzty,1786,1895,podkarpackie,15870
Żuków (gr.-kat.),Żuków (gr.-kat.),Śluby,1785,1925,podkarpackie,15871
Żuków (gr.-kat.),Żuków (gr.-kat.),Zgony,1784,1932,podkarpackie,15872
Andryjanki (prawosł.),Andryjanki (prawosł.),Chrzty,1881,1913,podlaskie,15814
Andryjanki (prawosł.),Andryjanki (prawosł.),Śluby,1881,1913,podlaskie,15815
Andryjanki (prawosł.),Andryjanki (prawosł.),Zgony,1881,1913,podlaskie,15816
Augustów,Augustów,Chrzty,1800,1916,podlaskie,496
Augustów,Augustów,Śluby,1729,1908,podlaskie,882
Augustów,Augustów,Zgony,1798,1939,podlaskie,359
Bakałarzewo,Bakałarzewo,Chrzty,1809,1922,podlaskie,13300
Bakałarzewo,Bakałarzewo,Śluby,1808,1922,podlaskie,5767
Bakałarzewo,Bakałarzewo,Zgony,1808,1922,podlaskie,13301
Bargłów Kościelny,Bargłów Kościelny,Chrzty,1688,1919,podlaskie,187
Bargłów Kościelny,Bargłów Kościelny,Śluby,1681,1941,podlaskie,148
Bargłów Kościelny,Bargłów Kościelny,Zgony,1757,1940,podlaskie,1787
Berżniki,Berżniki,Chrzty,1808,1912,podlaskie,11250
Berżniki,Berżniki,Śluby,1808,1912,podlaskie,11251
Berżniki,Berżniki,Zgony,1808,1912,podlaskie,11252
Białaszewo,Białaszewo,Chrzty,1728,1923,podlaskie,4931
Białaszewo,Białaszewo,Śluby,1781,1945,podlaskie,3533
Białaszewo,Białaszewo,Zgony,1798,1975,podlaskie,5103
Białowieża (gr-kat),Białowieża (gr-kat),Chrzty,1790,1827,podlaskie,10703
Białowieża (gr-kat),Białowieża (gr-kat),Śluby,1790,1826,podlaskie,13561
Białowieża (gr-kat),Białowieża (gr-kat),Zgony,1790,1827,podlaskie,13562
Białowieża (prawosł.),Białowieża (prawosł.),Chrzty,1889,1902,podlaskie,13653
Białowieża (prawosł.),Białowieża (prawosł.),Śluby,1889,1902,podlaskie,13654
Białowieża (prawosł.),Białowieża (prawosł.),Zgony,1889,1902,podlaskie,13655
Białowieża (prawosł.) aneksy,Białowieża (prawosł.) aneksy,Śluby,1871,1886,podlaskie,13312
Białystok (ewang.),Białystok (ewang.),Śluby,1841,1875,podlaskie,6641
Białystok (ewang.),Białystok (ewang.),Zgony,1915,1930,podlaskie,14914
Białystok (mojż.),Białystok (mojż.),Chrzty,1917,1917,podlaskie,14871
Białystok św. Rocha,Białystok św. Rocha,Śluby,1925,1939,podlaskie,12143
Białystok św. Rocha,Białystok św. Rocha,Zgony,1925,1942,podlaskie,12548
Białystok Wniebowzięcia NMP,Białystok Wniebowzięcia NMP,Chrzty,1734,1922,podlaskie,516
Białystok Wniebowzięcia NMP,Białystok Wniebowzięcia NMP,Śluby,1808,1941,podlaskie,10364
Białystok Wniebowzięcia NMP,Białystok Wniebowzięcia NMP,Zgony,1808,1939,podlaskie,10366
Białystok- Starosielce (prawosł.),Białystok- Starosielce (prawosł.),Chrzty,1902,1913,podlaskie,14539
Białystok- Starosielce (prawosł.),Białystok- Starosielce (prawosł.),Śluby,1902,1913,podlaskie,14540
Białystok- Starosielce (prawosł.),Białystok- Starosielce (prawosł.),Zgony,1902,1913,podlaskie,14541
Białystok-Dojlidy Niepok.Serca Maryi,Białystok-Dojlidy Niepok.Serca Maryi,Śluby,1919,1929,podlaskie,12629
Białystok-Dojlidy Niepok.Serca Maryi,Białystok-Dojlidy Niepok.Serca Maryi,Zgony,1919,1929,podlaskie,12630
Białystok-Starosielce św.Andrzeja Boboli,Białystok-Starosielce św.Andrzeja Boboli,Śluby,1920,1929,podlaskie,11868
Białystok-Starosielce św.Andrzeja Boboli,Białystok-Starosielce św.Andrzeja Boboli,Zgony,1920,1929,podlaskie,11869
Białystok-św.Mikołaja (prawosł.),Białystok-św.Mikołaja (prawosł.),Chrzty,1917,1922,podlaskie,16436
Białystok-św.Mikołaja (prawosł.),Białystok-św.Mikołaja (prawosł.),Śluby,1865,1922,podlaskie,14455
Białystok-św.Mikołaja (prawosł.),Białystok-św.Mikołaja (prawosł.),Zgony,1917,1922,podlaskie,16437
Bielsk Podlaski,Bielsk Podlaski,Chrzty,1679,1924,podlaskie,6958
Bielsk Podlaski,Bielsk Podlaski,Śluby,1712,1935,podlaskie,12547
Bielsk Podlaski,Bielsk Podlaski,Zgony,1713,1940,podlaskie,7159
Bielsk Podlaski- Nar.NMP (gr-kat.),Bielsk Podlaski- Nar.NMP (gr-kat.),Chrzty,1680,1689,podlaskie,14915
Bielsk Podlaski-Nar.NMP (prawosł.),Bielsk Podlaski-Nar.NMP (prawosł.),Chrzty,1884,1913,podlaskie,14874
Bielsk Podlaski-Nar.NMP (prawosł.),Bielsk Podlaski-Nar.NMP (prawosł.),Śluby,1884,1913,podlaskie,14875
Bielsk Podlaski-Nar.NMP (prawosł.),Bielsk Podlaski-Nar.NMP (prawosł.),Zgony,1884,1913,podlaskie,14876
Bielsk Podlaski-św.Mich.Arch. (prawosł.),Bielsk Podlaski-św.Mich.Arch. (prawosł.),Chrzty,1835,1913,podlaskie,13650
Bielsk Podlaski-św.Mich.Arch. (prawosł.),Bielsk Podlaski-św.Mich.Arch. (prawosł.),Śluby,1835,1913,podlaskie,13651
Bielsk Podlaski-św.Mich.Arch. (prawosł.),Bielsk Podlaski-św.Mich.Arch. (prawosł.),Zgony,1835,1913,podlaskie,13652
Bielsk Podlaski-św.Mikołaja (prawosł.),Bielsk Podlaski-św.Mikołaja (prawosł.),Chrzty,1836,1840,podlaskie,14092
Bielsk Podlaski-św.Mikołaja (prawosł.),Bielsk Podlaski-św.Mikołaja (prawosł.),Śluby,1836,1840,podlaskie,14093
Bielsk Podlaski-św.Mikołaja (prawosł.),Bielsk Podlaski-św.Mikołaja (prawosł.),Zgony,1836,1840,podlaskie,14094
Bielsk Podlaski-Zmart.Pań. (prawosł.),Bielsk Podlaski-Zmart.Pań. (prawosł.),Chrzty,1884,1906,podlaskie,12946
Bielsk Podlaski-Zmart.Pań. (prawosł.),Bielsk Podlaski-Zmart.Pań. (prawosł.),Śluby,1884,1906,podlaskie,12947
Bielsk Podlaski-Zmart.Pań. (prawosł.),Bielsk Podlaski-Zmart.Pań. (prawosł.),Zgony,1884,1906,podlaskie,12948
Boćki,Boćki,Chrzty,1670,1870,podlaskie,13213
Boćki,Boćki,Śluby,1808,1923,podlaskie,13214
Boćki,Boćki,Zgony,1808,1871,podlaskie,13215
Boćki (prawosł.),Boćki (prawosł.),Chrzty,1886,1913,podlaskie,16244
Boćki (prawosł.),Boćki (prawosł.),Śluby,1886,1913,podlaskie,16245
Boćki (prawosł.),Boćki (prawosł.),Zgony,1886,1913,podlaskie,16246
Borkowo,Borkowo,Chrzty,1919,1923,podlaskie,12586
Borkowo,Borkowo,Śluby,1920,1923,podlaskie,12587
Borkowo,Borkowo,Zgony,1920,1923,podlaskie,12588
Brańsk,Brańsk,Chrzty,1808,1912,podlaskie,4886
Brańsk,Brańsk,Śluby,1808,1933,podlaskie,4885
Brańsk,Brańsk,Zgony,1797,1940,podlaskie,6163
Burzyn,Burzyn,Chrzty,1793,1920,podlaskie,3353
Burzyn,Burzyn,Śluby,1787,1941,podlaskie,2035
Burzyn,Burzyn,Zgony,1781,1941,podlaskie,2764
Chmielówka (ewang.),Chmielówka (ewang.),Chrzty,1793,1840,podlaskie,9090
Chmielówka (ewang.),Chmielówka (ewang.),Śluby,1827,1842,podlaskie,9091
Choroszcz,Choroszcz,Chrzty,1808,1864,podlaskie,11192
Choroszcz,Choroszcz,Śluby,1809,1871,podlaskie,11193
Choroszcz,Choroszcz,Zgony,1808,1871,podlaskie,11194
Ciechanowiec,Ciechanowiec,Chrzty,1770,1901,podlaskie,6121
Ciechanowiec,Ciechanowiec,Śluby,1780,1858,podlaskie,6758
Ciechanowiec,Ciechanowiec,Zgony,1808,1838,podlaskie,7196
Ciechanowiec (prawosł.),Ciechanowiec (prawosł.),Chrzty,1888,1913,podlaskie,16057
Ciechanowiec (prawosł.),Ciechanowiec (prawosł.),Śluby,1888,1913,podlaskie,16058
Ciechanowiec (prawosł.),Ciechanowiec (prawosł.),Zgony,1888,1913,podlaskie,16059
